objectid,title,date,time,description,subject,species,location,country,latitude,longitude,type,format,display_template,object_location,image_small,image_thumb,spotter,source_file
paw_001,Paw Print 1 (2013-01-12),2013-01-12,12:03:41,,,,,,,,Image,image/webp,image,/objects/full/paw_001.webp,/objects/small/paw_001_sm.webp,/objects/thumbs/paw_001_th.webp,Christoph,C:\Users\chris\Pictures\2012\fotos indien\CIMG3046.JPG
paw_002,Paw Print 2 (2021-01-26),2021-01-26,14:46:13,,,,"Garachico, ES",Spain,28.806599,-17.770468,Image,image/webp,image,/objects/full/paw_002.webp,/objects/small/paw_002_sm.webp,/objects/thumbs/paw_002_th.webp,Christoph,C:\Users\chris\Pictures\2021\IMG_20210126_144613.jpg
paw_003,Paw Print 3 (2021-05-22),2021-05-22,20:38:19,,,unknown,"Pyryatyn, UA",Ukraine,50.271293,32.581799,Image,image/webp,image,/objects/full/paw_003.webp,/objects/small/paw_003_sm.webp,/objects/thumbs/paw_003_th.webp,Christoph,C:\Users\chris\Pictures\2021\20210522_203819.jpg
paw_004,Paw Print 4 (2023-12-14),2023-12-14,14:57:43,,,dog;wheel;whole shoe,"Khlong San, TH",Thailand,13.733488,100.505305,Image,image/webp,image,/objects/full/paw_004.webp,/objects/small/paw_004_sm.webp,/objects/thumbs/paw_004_th.webp,Christoph,C:\Users\chris\Pictures\2023\20231214_145743.jpg
paw_005,Paw Print 5 (2023-12-22),2023-12-22,15:40:25,,,cat;whole shoe,"Bangkok, TH",Thailand,13.758529,100.496692,Image,image/webp,image,/objects/full/paw_005.webp,/objects/small/paw_005_sm.webp,/objects/thumbs/paw_005_th.webp,Christoph,C:\Users\chris\Pictures\2023\20231222_154025.jpg
paw_006,Paw Print 6 (2023-12-24),2023-12-24,14:52:44,,,cat;whole shoe,"Chiang Mai, TH",Thailand,18.782806,98.983021,Image,image/webp,image,/objects/full/paw_006.webp,/objects/small/paw_006_sm.webp,/objects/thumbs/paw_006_th.webp,Christoph,C:\Users\chris\Pictures\2023\20231224_145244.jpg
paw_007,Paw Print 7 (2023-12-27),2023-12-27,12:18:23,,,dog,"Chiang Mai, TH",Thailand,18.785696,98.988573,Image,image/webp,image,/objects/full/paw_007.webp,/objects/small/paw_007_sm.webp,/objects/thumbs/paw_007_th.webp,Christoph,C:\Users\chris\Pictures\2023\20231227_121823.jpg
paw_008,Paw Print 8 (2023-12-30),2023-12-30,11:11:10,,,,"Chiang Mai, TH",Thailand,18.792378,98.986412,Image,image/webp,image,/objects/full/paw_008.webp,/objects/small/paw_008_sm.webp,/objects/thumbs/paw_008_th.webp,Christoph,C:\Users\chris\Pictures\2023\20231230_111110.jpg
paw_009,Paw Print 9 (2023-12-31),2023-12-31,00:15:10,,,human;whole cat,"Chiang Mai, TH",Thailand,18.783434,98.984989,Image,image/webp,image,/objects/full/paw_009.webp,/objects/small/paw_009_sm.webp,/objects/thumbs/paw_009_th.webp,Christoph,C:\Users\chris\Pictures\2023\20231231_001508.jpg
paw_010,Paw Print 10 (2024-01-01),2024-01-01,17:04:27,,,dog;whole shoe,"Chiang Mai, TH",Thailand,18.800989,98.980647,Image,image/webp,image,/objects/full/paw_010.webp,/objects/small/paw_010_sm.webp,/objects/thumbs/paw_010_th.webp,Christoph,C:\Users\chris\Pictures\2024\20240101_170428.jpg
paw_011,Paw Print 11 (2024-01-01),2024-01-01,17:11:46,,,dog;whole shoe,"Chiang Mai, TH",Thailand,18.798652,98.982825,Image,image/webp,image,/objects/full/paw_011.webp,/objects/small/paw_011_sm.webp,/objects/thumbs/paw_011_th.webp,Christoph,C:\Users\chris\Pictures\2024\20240101_171146.jpg
paw_012,Paw Print 12 (2024-01-01),2024-01-01,17:34:44,,,cat,"Chiang Mai, TH",Thailand,18.79257,98.982123,Image,image/webp,image,/objects/full/paw_012.webp,/objects/small/paw_012_sm.webp,/objects/thumbs/paw_012_th.webp,Christoph,C:\Users\chris\Pictures\2024\20240101_173444.jpg
paw_013,Paw Print 13 (2024-01-01),2024-01-01,22:55:34,,,cat;dog,"Chiang Mai, TH",Thailand,18.784719,98.986373,Image,image/webp,image,/objects/full/paw_013.webp,/objects/small/paw_013_sm.webp,/objects/thumbs/paw_013_th.webp,Christoph,C:\Users\chris\Pictures\2024\20240101_225533.jpg
paw_014,Paw Print 14 (2024-01-11),2024-01-11,17:47:23,,,mystery,"Chiang Mai, TH",Thailand,18.789473,98.991137,Image,image/webp,image,/objects/full/paw_014.webp,/objects/small/paw_014_sm.webp,/objects/thumbs/paw_014_th.webp,Christoph,C:\Users\chris\Pictures\2024\20240111_174723.jpg
